legacy_agora_id,legacy_name,legacy_family,status,score,method,winerim_agora_id,winerim_product_name,winerim_family,duplicates
134,PROTOS RESERVA,RIBERA DUERO,MATCH,100,EXACT,764526,B Protos Reserva,TINTOS WINERIM,0
153,PSI,RIBERA DUERO,MATCH,100,EXACT,764543,B PSI,TINTOS WINERIM,2
154,PSI MAGNUM,RIBERA DUERO,MATCH,100,EXACT,764543,B PSI,TINTOS WINERIM,2
146,VEGA SICILIA UNICO 1952,RIBERA DUERO,NO_MATCH,0,,,,,0
147,VEGA SICILIA UNICO 1962,RIBERA DUERO,NO_MATCH,0,,,,,0
148,VEGA SICILIA UNICO 1964,RIBERA DUERO,NO_MATCH,0,,,,,0
149,VEGA SICILIA UNICO 1965,RIBERA DUERO,NO_MATCH,0,,,,,0
150,VEGA SICILIA UNICO 1966,RIBERA DUERO,NO_MATCH,0,,,,,0
151,VEGA SICILIA UNICO 1967,RIBERA DUERO,NO_MATCH,0,,,,,0
145,VEGA SICILIA VALBUENA,RIBERA DUERO,NO_MATCH,0,,,,,0
136,VIÑA PEDROSA,RIBERA DUERO,REVIEW,73,FUZZY,764510,B Viña Pomal,TINTOS WINERIM,0
144,Valdubon,RIBERA DUERO,MATCH,92,CONTAINS,769707,B Valdubón Reserva,TINTOS WINERIM,0
125,CAMPO VIEJO,RIOJA,NO_MATCH,0,,,,,0
117,CONDE VALDEMAR,RIOJA,NO_MATCH,0,,,,,0
119,CONTINO,RIOJA,MATCH,92,CONTAINS,764511,B Contino Reserva,TINTOS WINERIM,0
126,DALMAU,RIOJA,MATCH,100,EXACT,764518,B Dalmau,TINTOS WINERIM,0
116,HACIENDA REMONDO,RIOJA,NO_MATCH,60,FUZZY,764531,B Hacienda Monasterio Reserva,TINTOS WINERIM,0
129,LA VICALANDA,RIOJA,MATCH,92,CONTAINS,764521,B La Vicalanda Reserva,TINTOS WINERIM,0
113,LUIS CAÑAS,RIOJA,MATCH,92,CONTAINS,764505,B Luis Cañas Crianza,TINTOS WINERIM,0
123,MARQUES DE CACERES,RIOJA,REVIEW,74,FUZZY,764506,B Marqués de Riscal Reserva,TINTOS WINERIM,0
108,MARQUES DE MURRIETA,RIOJA,MATCH,92,CONTAINS,774054,B Marqués de Murrieta Reserva,TINTOS WINERIM,0
114,MARQUES DE RISCAL,RIOJA,MATCH,92,CONTAINS,764506,B Marqués de Riscal Reserva,TINTOS WINERIM,0
122,MARTINEZ LACUESTA,RIOJA,NO_MATCH,62,FUZZY,763395,B Martinet Bru,TINTOS WINERIM,0
124,MUGA,RIOJA,NO_MATCH,0,,,,,0
132,PROPIEDAD,RIOJA,MATCH,100,EXACT,764524,B Propiedad,TINTOS WINERIM,0
111,RAMIREZ DE GANUZA,RIOJA,REVIEW,76,FUZZY,764502,B Remírez de Ganuza Reserva,TINTOS WINERIM,0
110,REMELLURI,RIOJA,MATCH,92,CONTAINS,764501,B Remelluri Reserva,TINTOS WINERIM,0
109,SIERRA CANTABRIA,RIOJA,MATCH,92,CONTAINS,765294,B Sierra Cantabria Crianza,TINTOS WINERIM,0
131,TORRE MUGA,RIOJA,NO_MATCH,0,,,,,0
128,VALENCISO,RIOJA,NO_MATCH,0,,,,,0
130,VIÑA ALBERDI,RIOJA,MATCH,100,EXACT,764522,B Viña Alberdi,TINTOS WINERIM,0
115,VIÑA ARDANZA,RIOJA,MATCH,92,CONTAINS,764507,B Viña Ardanza Reserva,TINTOS WINERIM,0
118,VIÑA POMAL,RIOJA,MATCH,100,EXACT,764510,B Viña Pomal,TINTOS WINERIM,0
112,VIÑA SALCEDA,RIOJA,REVIEW,75,FUZZY,764522,B Viña Alberdi,TINTOS WINERIM,0
120,VIÑA TONDONIA,RIOJA,MATCH,92,CONTAINS,769720,B Viña Tondonia Gran Reserva,TINTOS WINERIM,0
121,VIÑA TONDONIA RESERVA,RIOJA,MATCH,89,FUZZY,769720,B Viña Tondonia Gran Reserva,TINTOS WINERIM,0
127,VIÑAS DE GAIN,RIOJA,NO_MATCH,65,FUZZY,764498,B Vinya Selva de Mar,TINTOS WINERIM,0
163,ENATE,SOMONTANO,NO_MATCH,0,,,,,0
