winerim_agora_id,winerim_product_name,winerim_family,status,score,method,legacy_agora_id,legacy_name,legacy_family,duplicates
773496,B Venus  496,TINTOS WINERIM,MATCH,92,CONTAINS,40,VENUS,MONTSANT,0
763415,B Vi de Vila,TINTOS WINERIM,NO_MATCH,65,FUZZY,25,VI DE LA VILA PORRERA,PRIORAT,0
763608,B Via Edetana,TINTOS WINERIM,MATCH,100,EXACT,56,VIA EDETANA,TERRA ALTA,0
763643,B Vinya Le Havre,TINTOS WINERIM,NO_MATCH,69,FUZZY,100,VINYA SELVA DE MAR,EMPORDA COSTA BRAVA,0
769682,B Vinya Le Havre 682,TINTOS WINERIM,NO_MATCH,61,FUZZY,100,VINYA SELVA DE MAR,EMPORDA COSTA BRAVA,0
764498,B Vinya Selva de Mar,TINTOS WINERIM,MATCH,100,EXACT,100,VINYA SELVA DE MAR,EMPORDA COSTA BRAVA,0
764522,B Viña Alberdi,TINTOS WINERIM,MATCH,100,EXACT,130,VIÑA ALBERDI,RIOJA,0
764507,B Viña Ardanza Reserva,TINTOS WINERIM,MATCH,92,CONTAINS,115,VIÑA ARDANZA,RIOJA,0
764510,B Viña Pomal,TINTOS WINERIM,MATCH,100,EXACT,118,VIÑA POMAL,RIOJA,0
769720,B Viña Tondonia Gran Reserva,TINTOS WINERIM,MATCH,92,CONTAINS,120,VIÑA TONDONIA,RIOJA,2
776078,B Ètim Grenache,TINTOS WINERIM,NO_MATCH,0,,,,,0
763402,B Ònix Clàssic,TINTOS WINERIM,NO_MATCH,0,,,,,0
765643,B Ònix Clàssic 643,TINTOS WINERIM,NO_MATCH,0,,,,,0
